Pays,Disponibilité alimentaire,Exportations,Importations,Consommation,Production,Nombre d'habitants,Evolution de la population (en %) entre 2000 et 2018,PIB,Stabilité politique
Afghanistan,1.53,132.1851851851852,29.0,55.0,28.0,36296113.0,78.88356629103059,2058.4,-2.8
Afrique du Sud,35.69,63.0,514.0,2035.0,1667.0,57009756.0,28.5200437611808,13860.3,-0.28
Albanie,16.36,0.0,38.0,47.0,13.0,2884169.0,-7.877400380858885,12771.0,0.38
Algérie,6.38,0.0,2.0,264.0,275.0,41389189.0,36.03533379603627,11737.4,-0.92
Allemagne,19.47,646.0,842.0,1609.0,1514.0,82658409.0,2.117343151146691,53071.5,0.59
Angola,10.56,0.0,277.0,315.0,42.0,29816766.0,87.91642668680556,7310.9,-0.38
Antigua-et-Barbuda,54.1,0.0,7.0,5.0,0.0,95426.0,26.665438854977904,19840.3,0.75
Arabie saoudite,43.36,10.0,722.0,1435.0,616.0,33101178.0,63.10013582662237,47306.2,-0.64
Argentine,42.24,207.0,8.0,1856.0,2161.0,43937140.0,20.315169838929663,23597.1,0.17
Arménie,16.06,0.0,35.0,47.0,11.0,2944791.0,-3.8391433907644372,12115.1,-0.62
Australie,47.65,42.0,16.0,1171.0,1269.0,24584620.0,31.102032279716045,48398.5,0.9
Autriche,18.2,78.0,110.0,160.0,148.0,8819901.0,10.188175494307048,54173.0,1.05
Azerbaïdjan,13.11,0.0,27.0,129.0,104.0,9845320.0,22.489895959996755,14121.4,-0.75
Bahamas,43.17,132.1851851851852,24.0,16.0,6.0,381755.0,29.386245978037316,35911.7,0.99
Bangladesh,1.5,132.1851851851852,0.0,240.0,249.0,159685424.0,26.41345827417716,4894.6,-1.26
Barbade,46.78,0.0,2.0,13.0,15.0,286232.0,5.57096293022485,15800.4,0.97
Belgique,12.65,656.0,338.0,144.0,463.0,11419748.0,11.672253920990139,50442.3,0.43
Belize,25.69,0.0,0.0,10.0,20.0,375769.0,54.89193942947254,7140.9,0.04
Bolivie (État plurinational de),36.0,1.0,1.0,403.0,533.0,11192855.0,34.86322120570227,8423.7,-0.28
Bosnie-Herzégovine,16.7,8.0,10.0,56.0,61.0,3351525.0,-11.38978816243226,13753.8,-0.35
Botswana,3.39,0.0,3.0,7.0,5.0,2205080.0,37.16432569398552,15948.0,1.02
Brésil,48.03,4223.0,3.0,9982.0,14201.0,207833823.0,19.8403315652341,14524.6,-0.47
Bulgarie,22.06,45.0,108.0,157.0,107.0,7102444.0,-11.832384195113828,21469.9,0.33
Burkina Faso,2.27,132.1851851851852,0.0,44.0,46.0,19193234.0,70.15476128326623,2044.4,-0.93
Bélarus,27.98,152.0,21.0,264.0,463.0,9450231.0,-4.2446375634748135,18356.1,-0.05
Bénin,14.4,0.0,123.0,161.0,18.0,11175198.0,67.27535631990382,3044.5,0.03
Cabo Verde,17.62,132.1851851851852,12.0,9.0,1.0,537498.0,26.992582697319868,6643.2,0.77
Cambodge,2.34,132.1851851851852,10.0,37.0,28.0,16009409.0,33.68549972567384,3928.4,0.09
Cameroun,3.16,0.0,0.0,78.0,81.0,24566073.0,62.539360555938536,3665.1,-1.1
Canada,39.02,163.0,182.0,1433.0,1417.0,36732095.0,21.204713567238908,48317.2,1.1
Chili,36.36,115.0,155.0,672.0,712.0,18470439.0,22.074886427134093,24411.5,0.42
Chine - RAS de Hong-Kong,53.51,663.0,907.0,391.0,24.0,7306322.0,11.58590847834205,59842.2,0.83
Chine - RAS de Macao,34.47,0.0,23.0,21.0,3.0,622585.0,47.653711469860816,126144.0,1.43
"Chine, Taiwan Province de",33.17,8.0,161.0,785.0,652.0,23674546.0,8.011885538392118,24408.0,0.86
"Chine, continentale",12.33,576.0,452.0,17518.0,18236.0,1421021791.0,10.62314050079231,14520.8,-0.06420118343195268
Chypre,25.08,1.0,14.0,30.0,25.0,1179678.0,26.076286189824977,38288.0,0.54
Colombie,31.99,2.0,78.0,1565.0,1564.0,48909839.0,25.311854907377164,14171.3,-0.77
Congo,21.53,0.0,104.0,110.0,7.0,5110695.0,67.69011172500193,4234.7,-0.53
Costa Rica,26.52,3.0,17.0,131.0,133.0,4949954.0,26.17293378814508,20347.0,0.61
Croatie,10.77,17.0,24.0,45.0,61.0,4182857.0,-6.1351941870903275,27154.1,0.69
Cuba,23.72,132.1851851851852,312.0,269.0,29.0,11339254.0,1.9027127299592055,12300.0,0.65
Côte d'Ivoire,2.53,0.0,7.0,62.0,58.0,24437470.0,52.35330181076884,4830.8,-1.09
Danemark,28.98,139.0,133.0,166.0,173.0,5732274.0,7.693635542914187,55356.7,0.87
Djibouti,2.68,132.1851851851852,3.0,3.0,725.1904761904761,944099.0,33.63216013734978,4905.0,-0.74
Dominique,35.19,0.0,4.0,3.0,0.0,71458.0,2.8356066044508252,11341.3,1.2
El Salvador,20.43,2.0,16.0,131.0,136.0,6388126.0,9.049181241100447,8454.1,-0.26
Espagne,30.39,212.0,205.0,1418.0,1515.0,46647428.0,14.37388698043349,39528.9,0.28
Estonie,21.26,11.0,21.0,28.0,20.0,1319390.0,-5.445739869288521,33821.9,0.65
Eswatini,6.46,0.0,2.0,7.0,6.0,1124805.0,13.013869618622786,8408.0,-0.27
Fidji,28.02,0.0,3.0,25.0,23.0,877459.0,8.936678643561207,13429.3,0.62
Finlande,18.76,12.0,16.0,103.0,129.0,5511371.0,6.449980088489606,47570.1,1.08
Fédération de Russie,30.98,115.0,226.0,4509.0,4444.0,145530082.0,-0.4582257740370895,25926.4,-0.64
Gabon,29.33,0.0,76.0,61.0,4.0,2064822.0,72.52881891302223,15006.8,-0.1
Gambie,3.53,132.1851851851852,16.0,8.0,2.0,2213889.0,73.03550193025288,2072.6,-0.08
Ghana,7.24,0.0,151.0,211.0,60.0,29121465.0,54.40284423515587,5115.9,0.09
Grenade,45.7,132.1851851851852,7.0,5.0,1.0,110874.0,8.383495570488073,16217.5,1.01
Grèce,15.32,29.0,79.0,162.0,246.0,10569450.0,-5.0519107202025895,28604.9,-0.07
